iter	MultiClass
0	1.386214204
1	1.386163787
2	1.38614397
3	1.386099977
4	1.38600461
5	1.385979637
6	1.385955237
7	1.385927649
8	1.385881884
9	1.385844849
10	1.3857902
11	1.385751198
12	1.385700991
13	1.385681951
14	1.38560655
15	1.385555886
16	1.385539262
17	1.385513709
18	1.385501298
19	1.385483712
20	1.38544997
21	1.385419352
22	1.385412657
23	1.385373741
24	1.38535012
25	1.385276343
26	1.385246344
27	1.385224551
28	1.385197904
29	1.385142003
30	1.385125247
31	1.385069808
32	1.385021833
33	1.384924133
34	1.384832732
35	1.384801417
36	1.384767661
37	1.384671236
38	1.384641553
39	1.384550771
40	1.384478171
41	1.384425577
42	1.384400516
43	1.384318269
44	1.384278398
45	1.384231862
46	1.384207725
47	1.384122687
48	1.384068619
49	1.384007095
50	1.383961206
51	1.383933641
52	1.383833641
53	1.383749467
54	1.383711518
55	1.38366107
56	1.383591681
57	1.383518678
58	1.383461177
59	1.383427466
60	1.383411492
61	1.383340459
62	1.383252917
63	1.383188849
64	1.383106513
65	1.383040784
66	1.383004705
67	1.38293857
68	1.382865339
69	1.382806984
70	1.382785532
71	1.382747151
72	1.3826761
73	1.382631761
74	1.382563973
75	1.38253664
76	1.382468321
77	1.382400186
78	1.382320341
79	1.382249904
80	1.382213476
81	1.382188827
82	1.382127633
83	1.382110153
84	1.382051524
85	1.381994674
86	1.381951993
87	1.381916323
88	1.381863676
89	1.381801488
90	1.381759348
91	1.381706447
92	1.381656456
93	1.3816232
94	1.381591869
95	1.381533894
96	1.381478411
97	1.381446767
98	1.381373832
99	1.381354355
100	1.381288278
101	1.381252353
102	1.381214725
103	1.381192823
104	1.381137225
105	1.381113235
106	1.381070925
107	1.38103025
108	1.380983776
109	1.38093213
110	1.380896126
111	1.380849346
112	1.380814052
113	1.380785587
114	1.380737204
115	1.380683832
116	1.380620311
117	1.380591986
118	1.380563152
119	1.380525079
120	1.380479665
121	1.380441892
122	1.380379833
123	1.38035687
124	1.380320863
125	1.380276487
126	1.3802536
127	1.380195416
128	1.380148225
129	1.380109803
130	1.380084248
131	1.380031628
132	1.38002164
133	1.379996659
134	1.379989652
135	1.379932955
136	1.379912303
137	1.379896213
138	1.379847349
139	1.379824077
140	1.379774897
141	1.379732953
142	1.379715066
143	1.379689271
144	1.379669898
145	1.379633751
146	1.3796128
147	1.379564794
148	1.379522973
149	1.379498659
150	1.379483552
151	1.379457913
152	1.37942431
153	1.37941054
154	1.37938869
155	1.379357817
156	1.37932407
157	1.379305074
158	1.379289649
159	1.379261973
160	1.37923542
161	1.379190522
162	1.379139261
163	1.379109185
164	1.379085082
165	1.379072774
166	1.379036339
167	1.379013588
168	1.379001613
169	1.378962398
170	1.378933008
171	1.378924979
172	1.378901754
173	1.378880691
174	1.37885116
175	1.378783476
176	1.378752539
177	1.378736941
178	1.37855713
179	1.378514302
180	1.378456851
181	1.378437848
182	1.378404838
183	1.378375813
184	1.378341924
185	1.378325101
186	1.378301325
187	1.378251384
188	1.378218272
189	1.378169752
190	1.378132251
191	1.378114526
192	1.37810294
193	1.378059487
194	1.378039966
195	1.378010155
196	1.377966132
197	1.377953799
198	1.377937291
199	1.377895016
