iter	Passed	Remaining
0	4384	872614
1	4793	474573
2	5152	338316
3	5539	271433
4	5917	230782
5	6262	202501
6	6575	181285
7	6918	166035
8	7245	153767
9	7610	144597
10	7954	136676
11	8338	130640
12	8656	124515
13	8988	119419
14	9416	116141
15	9808	112801
16	10122	108967
17	10453	105698
18	10725	102178
19	11083	99750
20	11405	97219
21	11757	95130
22	12064	92844
23	12355	90604
24	12725	89076
25	13068	87458
26	13452	86193
27	13709	84216
28	13973	82394
29	14399	81594
30	14763	80484
31	15225	79934
32	15726	79583
33	16111	78661
34	16531	77934
35	16975	77333
36	17443	76845
37	17952	76535
38	18328	75662
39	18716	74864
40	19037	73828
41	19656	73947
42	21231	77519
43	22821	80912
44	24399	84044
45	24807	83049
46	25205	82052
47	25677	81311
48	26029	80212
49	26451	79353
50	26822	78364
51	27190	77388
52	27635	76649
53	28074	75906
54	28435	74965
55	28813	74091
56	29196	73246
57	29568	72393
58	29910	71481
59	30279	70651
60	30640	69820
61	31100	69224
62	31645	68815
63	32104	68222
64	32491	67482
65	32961	66921
66	33533	66566
67	34087	66170
68	34666	65816
69	35149	65277
70	35592	64668
71	36006	64011
72	36481	63467
73	36846	62738
74	37286	62143
75	37704	61518
76	38203	61026
77	38693	60520
78	39156	59973
79	39492	59238
80	41202	60531
81	44242	63666
82	44935	63342
83	45293	62547
84	45798	61962
85	46261	61323
86	46704	60662
87	47132	59987
88	47592	59356
89	48073	58756
90	48534	58134
91	49052	57583
92	49523	56978
93	49885	56253
94	50331	55630
95	50768	54998
96	51135	54298
97	51532	53635
98	51866	52914
99	52250	52250
100	52643	51600
101	53107	51024
102	53532	50413
103	53918	49770
104	54341	49165
105	54792	48589
106	55194	47972
107	55566	47334
108	55986	46740
109	56469	46202
110	56866	45595
111	57317	45034
112	57760	44470
113	58142	43862
114	58510	43246
115	58972	42704
116	59364	42113
117	59833	41579
118	60117	40920
119	61466	40977
120	64790	42301
121	65610	41947
122	66102	41381
123	66436	40718
124	66841	40105
125	67312	39532
126	67811	38978
127	68253	38392
128	68651	37784
129	69089	37202
130	69535	36625
131	69960	36040
132	70303	35416
133	70785	34864
134	71214	34288
135	71671	33727
136	72186	33195
137	72620	32626
138	73103	32081
139	73485	31493
140	73968	30951
141	74417	30396
142	74786	29810
143	75221	29252
144	75722	28722
145	76146	28163
146	76604	27619
147	77046	27070
148	77511	26530
149	77979	25993
150	78468	25463
151	78911	24919
152	79282	24354
153	79757	23823
154	80163	23273
155	80412	22680
156	80663	22092
157	80850	21491
158	82400	21247
159	84902	21225
160	86206	20882
161	86728	20343
162	87188	19791
163	87571	19223
164	88013	18669
165	88457	18117
166	88802	17547
167	89260	17002
168	89728	16459
169	90160	15910
170	90602	15365
171	91052	14822
172	91588	14294
173	92097	13761
174	92485	13212
175	92918	12670
176	93435	12141
177	93896	11605
178	94355	11069
179	94798	10533
180	95179	9991
181	95533	9448
182	95987	8916
183	96427	8385
184	96868	7854
185	97308	7324
186	97678	6790
187	98060	6259
188	98463	5730
189	98905	5205
190	99235	4676
191	99773	4157
192	100260	3636
193	100863	3119
194	103186	2645
195	105240	2147
196	106457	1621
197	106990	1080
198	107553	540
199	108030	0
